"Year","Number"
"1980","38"
"1981","55"
"1982","59"
"1983","71"
"1984","58"
"1985","58"
"1986","60"
"1987","56"
"1988","65"
"1989","54"
"1990","68"
"1991","72"
"1992","60"
"1993","85"
"1994","94"
"1995","71"
"1996","90"
"1997","113"
"1998","98"
"1999","92"
"2000","80"
"2001","85"
"2002","79"
"2003","64"
"2004","60"
"2005","75"
"2006","86"
"2007","75"
"2008","83"
"2009","89"
"2010","81"
"2011","71"
"2012","67"
"2013","93"
"2014","85"
"2015","99"
"2016","85"
"2017","94"
"2018","96"
"2019","105"
"2020","96"
"2021","82"
"2022","101"
