"Year","Number"
"1980","20"
"1981","22"
"1982","16"
"1983","16"
"1984","13"
"1985","21"
"1986","15"
"1987","22"
"1988","21"
"1989","17"
"1990","18"
"1991","16"
"1992","14"
"1993","12"
"1994","19"
"1995","15"
"1996","17"
"1997","11"
"1998","12"
"1999","****"
"2000","7"
"2001","6"
"2002","10"
"2003","****"
"2004","****"
"2005","5"
"2006","****"
"2007","****"
"2008","6"
"2009","****"
"2010","5"
"2011","7"
"2012","****"
"2013","5"
"2014","6"
"2015","6"
"2016","7"
"2017","12"
"2018","5"
"2019","****"
"2020","7"
"2021","****"
"2022","****"
