"Year","Number"
"1980","683"
"1981","745"
"1982","713"
"1983","714"
"1984","686"
"1985","789"
"1986","759"
"1987","760"
"1988","792"
"1989","833"
"1990","754"
"1991","746"
"1992","773"
"1993","848"
"1994","814"
"1995","810"
"1996","763"
"1997","773"
"1998","778"
"1999","768"
"2000","693"
"2001","647"
"2002","665"
"2003","661"
"2004","635"
"2005","672"
"2006","585"
"2007","610"
"2008","585"
"2009","521"
"2010","490"
"2011","512"
"2012","493"
"2013","535"
"2014","567"
"2015","542"
"2016","593"
"2017","526"
"2018","535"
"2019","540"
"2020","656"
"2021","598"
"2022","598"
