"Year","Number"
"1980","6"
"1981","12"
"1982","7"
"1983","****"
"1984","6"
"1985","6"
"1986","10"
"1987","6"
"1988","6"
"1989","8"
"1990","7"
"1991","6"
"1992","9"
"1993","13"
"1994","15"
"1995","7"
"1996","12"
"1997","12"
"1998","19"
"1999","14"
"2000","24"
"2001","15"
"2002","17"
"2003","33"
"2004","25"
"2005","24"
"2006","39"
"2007","29"
"2008","50"
"2009","63"
"2010","84"
"2011","61"
"2012","41"
"2013","40"
"2014","35"
"2015","44"
"2016","60"
"2017","36"
"2018","25"
"2019","42"
"2020","32"
"2021","43"
"2022","36"
