"Year","Number"
"1980","121"
"1981","113"
"1982","140"
"1983","118"
"1984","137"
"1985","131"
"1986","138"
"1987","141"
"1988","140"
"1989","154"
"1990","137"
"1991","150"
"1992","125"
"1993","134"
"1994","146"
"1995","162"
"1996","164"
"1997","182"
"1998","145"
"1999","150"
"2000","118"
"2001","104"
"2002","122"
"2003","121"
"2004","125"
"2005","99"
"2006","117"
"2007","88"
"2008","107"
"2009","86"
"2010","107"
"2011","105"
"2012","112"
"2013","138"
"2014","97"
"2015","96"
"2016","116"
"2017","113"
"2018","106"
"2019","116"
"2020","112"
"2021","111"
"2022","119"
