Year,CO,SO2,NO2,O3,PM10,PM2.5,88502,Weighted_AQI_Estimate
1967,,10.0,,,,,,0.0
1968,,4.631372549019607,,,,,,0.0
1969,,5.2125,,,,,,0.0
1970,,3.014583333333333,,,,,,0.0
1971,0.6311002142857143,5.38415248,23.762077400000003,,,,,0.6311002142857143
1972,0.8489578218527316,11.275591809796769,20.410758315018317,0.0131594592496765,,,,0.4310586405512041
1973,0.1953257346938775,5.189727538304093,26.1982814017094,0.0159225455642727,,,,0.1056241401290751
1974,2.0666969615384616,5.012833318970405,17.98373205741627,0.0191459645206298,,,,1.0429214630295458
1975,1.5082671153846154,3.96545643982154,15.704368174726987,0.0200531526370217,,,,0.7641601340108186
1976,,4.771562678618163,17.120761088262054,0.0249677455782312,,,,0.0249677455782312
1977,,5.092412248390612,16.44300061943024,0.0281626500633943,,,,0.0281626500633943
1978,2.222046213114754,6.510722700412088,16.77700392302106,0.0292244607681755,,,,1.1256353369414647
1979,1.2590492592592593,6.079430249625062,14.19680611594203,0.0237181031635264,,,,0.6413836812113928
1980,0.8330819267605634,6.71861909836928,15.349235669796558,0.0255280236000558,,,,0.4293049751803096
1981,0.9334822624434388,6.428578192273136,17.617276837016576,0.0265050294842312,,,,0.479993645963835
1982,0.6925681848920863,6.06104525883295,15.097524204134366,0.0218498188189043,,,,0.3572090018554953
1983,0.8370423819494586,5.560169364548153,20.17474675189599,0.0202319690241855,,,,0.428637175486822
1984,0.830653597260274,5.173844726631223,22.57083859561448,0.0214277230237756,,,,0.4260406601420248
1985,1.0229400592286502,6.388188065349388,19.93169587434555,0.0242234336314593,39.5735294117647,,,13.54023096820827
1986,0.8590167830985916,6.272822320794264,19.87598337968561,0.0247307105358044,34.579819277108435,,,11.821188923580943
1987,0.91169980521262,6.0909378207934335,20.846142368567453,0.0272651368274804,33.84873949579832,,,11.595901479279473
1988,1.066353057558946,5.74845866354764,19.539322133053226,0.0285402547393916,30.532763532763532,,,10.54255228168729
1989,0.8847078496453901,5.880728206969875,17.27194142141864,0.0245616141359189,28.62361111111111,,,9.844293524964138
1990,0.5749631089521166,5.919051379185301,16.750687296934867,0.0282606860660324,27.910430839002267,,,9.504551544673472
1991,0.6462628081717451,6.799617973053594,17.12217083348666,0.0248798803184973,26.19001751313485,,,8.953720067208362
1992,0.5885372881969587,6.599798785514567,9.762531384710744,0.0261975833725637,26.4502784407319,,,9.021671104100474
1993,0.4384110792767733,5.988212354352533,9.825146457528447,0.0258925882116158,25.07200587803086,,,8.51210318183975
1994,0.413051270790378,5.065405125647668,10.305833915485126,0.0249871810288752,23.979305513642892,,,8.13911465515405
1995,0.5173172444674965,4.129960009190372,10.092808512330285,0.028253292443136,23.691965855731222,,,8.079178797547284
1996,0.5030816511782277,4.438559808428446,10.452687852441327,0.0267541045909974,21.577317753920383,,,7.369051169896537
